Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,1.32,0.0,4.9325,0.0,2.812,0.0
1-2t,1.92,22.412308,0.0,11.62765,0.0,4.532658,0.0
2-3t,0.0,27.899172,0.0,13.163,0.0,7.005,0.0
3-4t,0.0,77.132558,0.0,21.655,0.0,19.6,0.0
4-5t,0.0,91.62732399999999,0.0,13.7,0.0,35.556,0.0
5-6t,5.049,77.567,0.0,79.0532,0.0,15.635,0.0
6-7t,0.0,72.494,0.0,12.527,0.0,24.9,0.0
7-8t,0.0,51.24,0.0,30.160224999999997,0.0,8.0,0.0
8-9t,0.0,60.2,0.0,0.0,0.0,17.2,0.0
9-10t,0.0,0.0,0.0,20.0,0.0,10.0,0.0
10-11t,21.9,53.0,0.0,273.05494,0.0,0.0,0.0
11-12t,11.87,35.28,0.0,0.0,0.0,0.0,0.0
12-13t,12.525,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,289.208,0.0,0.0,0.0,0.0,13.6,0.0
14-15t,235.747,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,1168.442,0.0,0.0,0.0,0.0,47.25,0.0
16-17t,2411.655,0.0,0.0,0.0,0.0,16.2,0.0
17-18t,576.8,0.0,0.0,0.0,0.0,70.4,0.0
18-19t,567.02,0.0,0.0,0.0,0.0,0.0,0.0
