,Inc,LEO,SSO,MEO,GTO,HEO,BEO
0,0.01,,,,35795.25,,
1,0.02,,,,35818.142857142855,,
2,0.03,,,8073.0,35811.75,,
3,0.04,,,,35792.0,,
4,0.05,,,,35796.75,,
5,0.06,,,,35796.5,,
6,0.07,,,,35868.0,,
7,0.08,,,,35766.0,,
8,0.09,,,,35770.0,,
9,0.13,,,,36590.5,,
10,0.23,603.0,,,,,
11,0.35,,,,43400.0,,
12,0.44,,,,41805.0,,
13,0.79,,,,35722.0,,
14,1.98,,,,62079.0,,
15,2.35,,,8195.0,,,
16,2.82,,,8183.0,,,
17,3.0,,,,68865.0,,
18,3.07,,,,35762.0,,
19,4.16,,,,50185.0,,
20,4.18,,,,35781.0,,
21,4.2,,,,35759.0,,
22,4.52,,,,53666.0,,
23,5.33,,,7658.0,,,
24,6.95,,,,90292.0,,
25,8.77,,,7079.0,,,
26,8.84,,,,62271.0,,
27,10.03,,,,66120.0,,
28,12.31,,,,64610.0,,
29,12.52,,,,68932.0,,
30,13.69,,,,35884.0,,
31,14.64,,,,60588.0,,
32,15.98,,,,56359.0,,
33,16.98,,,,65654.0,,
34,17.07,,,,46215.0,,
35,17.35,,,,63252.0,,
36,18.52,,,,62437.0,,
37,19.38,,,,64125.0,,
38,20.51,,,,79325.0,,
39,21.22,65207.0,,,,,
40,23.95,,,,65360.0,,
41,24.1,,,,69598.0,,
42,24.52,,,,70118.0,,
43,24.64,,,,62595.0,,
44,24.81,,,,63319.0,,
45,26.3,,,,24849.0,,
46,26.82,,,,68525.0,,
47,27.12,,,,68931.0,,
48,27.83,,,,61220.0,,
49,28.37,,,,,,1164400.0
50,28.52,,,,,,367501.0
51,28.6,,,,,,411633.0
52,29.1,,,,,,1134167.0
53,29.59,,,,,,711881.0
54,34.2,,,,,,-36368.0
55,34.5,260.0,,,,,
56,34.54,308.0,,,,,
57,35.04,,,,,,322453.0
58,36.87,,,,,,1274012.0
59,37.03,,,,,,1371156.0
60,40.0,1002.0,,,,,
61,42.98,342.0,,,,,
62,43.0,300.0652173913044,,,,,
63,43.01,295.9594594594595,,,,,
64,44.99,453.0,,,,,
65,45.05,706.0,,,,,
66,45.41,590.5,,,,,
67,45.42,573.0,,,,,
68,47.0,657.0,,,,,
69,47.01,738.0,,,,,
70,49.52,334.0,,,,,
71,50.0,409.0,,,,,
72,51.4,540.0,,,,,
73,51.55,377.0,,,,,
74,51.6,208.0,,,,,
75,51.61,399.0,,,,,
76,51.62,206.0,,,,,
77,51.63,364.0,,,,,
78,51.64,383.6190476190476,,,,,
79,51.65,318.5238095238095,,,,,
80,51.66,313.0,,,,,
81,51.68,336.0,,,,,
82,51.7,251.0,,,,,
83,51.76,464.0,,,,,
84,51.88,463.0,,,,,
85,51.98,1125.0,,,,,
86,52.0,659.0,,,,,
87,52.98,523.0,,,,,
88,52.99,276.0,,,,,
89,53.0,346.3333333333333,,,,,
90,53.01,358.6666666666667,,,,,
91,53.04,583.0,,,,,
92,53.05,286.1875,,,,,
93,53.06,293.8333333333333,,,,,
94,53.15,284.1666666666667,,,,,
95,53.16,281.0,,,,,
96,53.17,291.6969696969697,,,,,
97,53.18,344.0,,,,,
98,53.2,334.0,,,,,
99,53.21,315.75,,,,,
100,53.22,333.2173913043478,323.5,,,,
101,53.23,338.0,,,,,
102,54.47,356.0,,,,,
103,54.72,,,23228.0,,,
104,54.93,,,20189.0,,,
105,54.97,,,20186.0,,,
106,54.98,,,,20185.0,,
107,54.99,,,20198.0,20195.0,,
108,55.06,,,20198.0,,,
109,55.1,,,20200.0,,,
110,55.38,,,23228.0,,,
111,62.36,,,,,42874.0,
112,63.44,1207.0,,,,,
113,64.07,1306.0,,,,,
114,64.65,,,,,,-135350.0
115,66.05,1322.0,,,,,
116,66.06,1327.0,,,,,
117,69.9,325.0,,,,,
118,69.92,319.0,,,,,
119,69.99,362.6666666666667,,,,,
120,70.0,315.6470588235294,,,,,
121,70.01,366.6,,,,,
122,77.6,861.0,,,,,
123,80.99,947.0,,,,,
124,81.0,1218.5,,,,,
125,81.3,943.0,,,,,
126,86.51,599.0,,,,,
127,86.52,599.0,,,,,
128,86.53,704.0,,,,,
129,86.66,635.0,,,,,
130,86.67,624.0,,,,,
131,86.68,625.5,,,,,
132,86.69,626.0,,,,,
133,88.27,500.0,,,,,
134,88.99,504.0,,,,,
135,90.0,432.0,,,,,
136,96.98,,404.0,,,,
137,97.26,,464.0,,,,
138,97.44,518.0,516.5,,,,
139,97.46,,518.0,,,,
140,97.48,,531.0,,,,
141,97.5,,537.0,,,,
142,97.51,,534.75,,,,
143,97.58,,520.0,,,,
144,97.6,,276.1818181818182,,,,
145,97.61,,326.0,,,,
146,97.64,,569.0,,,,
147,97.66,,319.0,,,,
148,97.67,,326.5,,,,
149,97.75,,603.0,,,,
150,97.77,,596.0,,,,
151,97.88,,611.0,,,,
152,97.89,,648.0,,,,
153,97.9,,579.0,,,,
154,97.95,,657.0,,,,
155,98.07,,677.0,,,,
156,98.21,,679.0,,,,
157,98.3,,729.0,,,,
158,98.4,,751.0,,,,
159,98.71,,828.0,,,,
160,139.36,502.0,,,,,
