Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,4.6415,2.003,0.0,0.0,0.0,0.0,2.22
1-2t,13.15925,8.907958,2.932,3.4,0.0,0.0,5.974
2-3t,15.823,26.963872,0.0,0.0,0.0,0.0,5.286
3-4t,29.399099999999997,13.992458000000001,17.0,54.709,0.0,0.0,0.0
4-5t,9.55,8.936724,21.952,96.396,0.0,0.0,0.0
5-6t,112.3772,0.0,0.0,59.907,0.0,0.0,0.0
6-7t,19.195,0.0,0.0,71.926,0.0,0.0,0.0
7-8t,45.660225,0.0,0.0,28.74,0.0,7.2,0.0
8-9t,69.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,10.0,10.0,0.0,0.0,0.0,0.0,0.0
10-11t,347.95494,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,23.63,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,12.525,0.0,0.0,0.0,0.0,0.0
13-14t,68.484,110.124,0.0,0.0,0.0,0.0,0.0
14-15t,513.327,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,1704.662,15.86,0.0,0.0,0.0,0.0,0.0
16-17t,1857.895,16.165,0.0,0.0,0.0,0.0,0.0
17-18t,313.04,0.0,0.0,0.0,0.0,0.0,0.0
